glyph,phonetic,family,pinyin,cantonese,on,kun,korean,vietnamese
溞,蚤,叉,sāo,,,,,
溟,冥,冖,míng,ming4,MEI,KURAI UMI,명,
溠,差,左,zhà,zaa3,SA SHA SHI,,,
溡,時,之,shí,,,,,
溢,益,益,yì,jat6,ITSU,AFURERU MICHIRU,일,
溣,倫,侖,lùn,,,,,
溤,,,mǎ,,,,,
溥,尃,父,pǔ,pou2,HO FU HAKU,AMANESHI,부,
溦,𣁋,,wēi,mei4,MI BI,KOSAME TANI KABI,,
溧,栗,栗,lì,leot6,RITSU RICHI,,률,rớt
溨,栽,,zāi,,,,재,
溩,烏,烏,wù,,,,,
溪,奚,奚,xī,kai1,KEI,TANI,계,khe
溫,,,wēn,wan1,ON UN,ATATAKA ATATAMERU,온,
溬,羗,羊,qiāng,,,,,
溭,畟,畟,zé,,SHOKU JIKI,,,
溮,師,帀,shī,si1,SHI,,,
溯,朔,屰,sù,sou3,SO,SAKANOBORU,소,
溰,豈,豈,ái,,,,,
溱,秦,,qín,zeon1,SHIN,OOI,진,
溲,叟,叟,sōu,sau1,SOU SHUU,HITASU IBARI,수,
溳,員,囗,yún,wan4,UN IN,,,vờn
溴,臭,臭,xiù,cau3,,,,
溵,殷,殷,yīn,jan1 jan2,,,은,
溶,容,容,róng,jung4,YOU,TOKERU,용,ròng
溷,圂,豕,hùn,wan6,KON,NIGORU KEGARERU MIDARERU,혼,
溸,素,素,sù,sou3,,,,
溹,索,索,suò,sok3,,,,
溺,弱,弱,nì,nik1 nik6 niu6,DEKI JOU NYOU,OBORERU IBARI,닉 익,
溻,,,tā,taap3,TOU,URUOU,,
溼,,,shī,sap1,,,,
溽,辱,辱,rù,juk6,JOKU,MUSHIATSUI,욕,
溾,,,āi,,,,,
溿,畔,半,pàn,,HAN,MIZUGIWA,,
滀,畜,畜,chù,cuk1,CHIKU,ATSUMARU,,sốc
滁,除,余,chú,cyu4,CHO JO,,,
滂,旁,方,pāng,pong1 pong4,BOU HOU,HIROI,방,bẵng
滃,翁,公,wēng,jung2,OU O,,옹,
滄,倉,倉,cāng,cong1,SOU,SAMUI,창,
滅,烕,灭,miè,mit6,METSU BETSU,HOROBIRU HOROBOSU,멸,diệt
滆,,,gé,gaak3,,,,
滇,真,真,diān,din1 tin4,TEN SHIN,,,chan
滈,,,hào,hou6,KOU GOU KAKU KOKU,NAGAAME,호,hao
滉,晃,火,huàng,fong2,KOU,HIROI,황,
滊,氣,氣,xì,,KI KE KETSU KECHI,,,
滋,兹,,zī,zi1,JI SHI,SHIGERU MASU MASUMASU,자,
滌,條,攸,dí,dik6,DEKI JOU,ARAU,척,sạch
滍,蚩,之,zhì,ci5 zi6,CHI JI,,,
滎,,,xíng,jing4,KEI GYOU EI,CHIYOROCHIYORO,형,
滏,釜,父,fǔ,fu2,FU BU,,,
滐,桀,舛,jié,git6,,,,
滑,骨,骨,huá,gwat1 waat6,KATSU KOTSU,NAMERAKA SUBERU,골 활,gột
滒,哥,丂,gē,,,,,
滓,宰,宰,zǐ,zi2,SAI SHI,ORI KASU,재,
滔,舀,舀,tāo,tou1,TOU,HABIKORU,도,thao
滕,朕,关,téng,tang4,TOU,WAKU,등,
滖,衰,衰,suī,,,,,
滗,笔,,bì,bat1 bei3,,,,
滘,,,jiào,gaau3,,,,
滙,龨,,huì,wui6,,,회,
滚,衮,公,gǔn,gwan2 kwan2,KON,TAGIRU,,
滛,䍃,肉,yín,jam4,,,,
滜,皋,皋,gāo,,,,,
滝,竜,竜,lóng,lung4 soeng1,SOU ROU,TAKI,,sông
滞,帯,帯,zhì,zai6,TAI,TODOKOORU,,
滟,艳,,yàn,,,,,
滠,聂,,shè,sip3,,,,
满,1,满,mǎn,mun5,MAN BAN,MICHIRU MITASU,,
滢,莹,𫇦,yíng,jing4,,,,
滣,唇,辰,chún,,,,,
滤,虑,,lǜ,leoi6,,,,
滥,監,監,làn,laam6,,,,
滦,栾,,luán,lyun4,,,,
滧,效,交,yáo,,,,,
滨,宾,兵,bīn,ban1,,,,
滩,难,,tān,taan1,,,,
滪,预,予,yù,jyu6,,,,
滫,脩,攸,xiǔ,sau1 sau2,SHUU SHU,TOGISHIRU,,
滬,扈,戸,hù,wu6,KO,ERI AJIRO,호,
滭,畢,畢,bì,bat1,HITSU HICHI,WAKU,필,
滮,彪,彪,biāo,biu1,HYUU HYU,NAGARERU,,
滯,帶,帶,zhì,zai6,TAI,TODOKOORU,체,sệ
滰,竟,竟,jiàng,,,,,
滱,寇,寇,kòu,kau3,,,,
滲,參,參,shèn,sam3,SHIN,SHIMIRU,삼,rướm
滳,商,商,shāng,,,,,
滴,啇,帝,dī,dik1,TEKI,SHITATARU SHIZUKU SHITATARI,적,nhích
滵,密,必,mì,mat6,,,밀,
滶,敖,方,áo,ngou4,,,,
滷,鹵,鹵,lǔ,lou5,RO,SHIOCHI SHIOTSUKI,로,
滸,許,午,hǔ,wu2,KO,HOTORI,호,
滹,虖,乎,hū,fu1,KO KU,,,
滺,悠,攸,yōu,dik6 jau4,,,,
滻,產,產,chǎn,caan2,SAN SEN,,,
滼,梵,凡,fàn,,,,범,
滽,庸,庸,yōng,jung4,YOU YU,,,
滾,袞,㕣,gǔn,gwan2 kwan2,KON,TAGIRU,곤,củn
滿,㒼,㒼,mǎn,mun5,MAN BAN,MICHIRU MITASU,만,mãn
漀,殸,声,qǐng,,,,,
漁,魚,魚,yú,jyu4,RYOU GYO,SUNADORU ISARU SUNADORI,어,ngư
漂,票,票,piào,piu1 piu3,HYOU,TADAYOU,표,phều
漃,寂,尗,jì,zik6,,,,
漄,崖,圭,yá,aai4 ngaai4,GAI,HATE,애,
漅,巢,巢,cháo,caau4,,,,
漆,桼,桼,qī,cat1,SHITSU,URUSHI,칠,
漇,徙,止,xǐ,saai1,,,,
漈,祭,祭,jì,zai3,SEI SAI,MIZUGIWA,,
漉,鹿,鹿,lù,luk6,ROKU,KOSU SUKU KOSHI,록,lộc
漊,,,lóu,lau4,RU ROU,,,sâu
漋,隆,,lóng,lung4,,,,
漌,堇,堇,jǐn,gan2,KIN KON,KIYOI HITASU,근,
漍,國,或,guó,,KAKU,,,
漎,從,,cóng,cung4 sung2,,,,
漏,屚,屚,lòu,lau6,ROU,MORU MORERU MORASU,누 루,lậu
漐,執,幸,zhí,,,,,
漑,旣,旡,gài,koi3,GAI KAI,SOSOGU,개,ngấy
漒,强,强,qiáng,,,,,
漓,离,离,lí,lei4,RI,USUI,리,lầy
演,寅,寅,yǎn,jin2 jin5,EN,NOBERU,연,diễn
漕,曹,曹,cáo,cou4,SOU,KOGU HAKOBU,조,
漖,教,耂,jiào,gaau3,KOU KYOU,,,
漗,悤,囱,cōng,cung1,,,,
漘,脣,辰,chún,seon4,SHIN JIN,MIZUGIWA,,
漙,專,屮,tuán,tyun4,,,단,
漚,區,區,ōu,au1 au3,OU U,HITASU,구,
漛,,,téng,,TOU DOU,NAMI,,
漜,埜,埜,yě,,,,,
漝,習,習,xí,,,,,
漞,覓,覓,mì,,,,,
漟,堂,向,táng,,,,,
漠,莫,莫,mò,mok6,BAKU,SUNAHARA HIROI,막,mạc
漡,,,shāng,,,,,
漢,𦰩,,hàn,hon3,KAN,KARA,한,hán
漣,連,連,lián,lin4,RAN REN,SAZANAMI,련 연,lăn
漤,婪,林,lǎn,laam5,,,람,
漥,窐,,wā,waa1,,,,
漦,𠩺,𠩺,chí,lei4,GI RAI TAI,NAGARERU,시,
漧,乾,龺,gān,gon1,,,건,
漨,逢,丰,féng,,,,봉,vùng
漩,旋,旋,xuán,syun4,SEN ZEN,MEGURU,,
漪,猗,丂,yī,ji1 ji2,I,NAMI,의,
漫,曼,冃,màn,maan6,MAN,MIDARI MIDARINI SOZORONI,만,man
漬,責,朿,zì,zi3,SHI,HITASU TSUKERU TSUKE,지,
漭,莽,茻,mǎng,mong5,BOU MOU,HIROI,망,
漮,康,康,kāng,hong1,,,,
漯,累,田,luò,leoi5 lok3 taap3,TOU RUI,,,
漰,崩,朋,pēng,paang1 paang4,HOU HYOU,,붕,
漱,欶,束,shù,sau3 sou3,SOU SHUU,SUSUGU UGAI,수,
漲,張,長,zhǎng,zoeng2 zoeng3,CHOU,MINAGIRU,창,trướng
漳,章,早,zhāng,zoeng1,SHOU,SASAERU,장,
漴,崇,宗,zhuàng,zong6,,,,sòng
漵,敘,余,xù,zeoi6,,,,
漶,患,串,huàn,waan6,KAN GAN,HATSUKIRISHINAI,,
漷,郭,亨,huǒ,gwok3 kwok3,,,,
漸,斬,斬,jiàn,zim1 zim6,ZEN SEN ZAN,SUSUMU YOUYAKU,점,tiệm
漹,焉,焉,yān,,,,,
漺,爽,爽,shuǎng,,,,,
漻,翏,翏,liáo,lau4 liu4,RYOU RYUU RU,,,
漼,崔,隹,cuǐ,ceoi2 ceoi4,SAI SUI ZUI,HUKAI,최,dồi
漽,犀,㞑,tí,tai4,,,,
漾,羕,羊,yàng,joeng6,YOU,TADAYOU,양,
漿,將,,jiāng,zoeng1,SHOU,KONZU,장,
潀,眾,,cóng,cung4,SOU,ATSUMARU,,
潁,頃,頃,yǐng,wing6,EI,,영,
潂,,,hóng,,,,,
潃,,,xiǔ,sau1,,,,
潄,敕,束,shù,sau3 sou3,,,,
潅,雚,吅,guàn,,KAN,SOSOGU,,
潆,萦,𫇦,yíng,jing4,,,,
潇,萧,肃,xiāo,siu1,,,,
潈,,,zong,,,,,
潉,崑,昆,kūn,,,,,
潊,敍,余,xù,,,,,
潋,敛,僉,liàn,lim6,,,,
潌,窒,至,zhì,,,,,
潍,维,,wéi,wai4,,,,
潎,敝,㡀,pì,pit3,,,,
潏,矞,冏,yù,gyut3 kyut3 wat6,KETSU KECHI SHUTSU JUCHI,,율,
潐,焦,焦,jiào,,,,,tèo
潑,發,癹,pō,put3,HATSU,MORU TOBICHIRU SOSOGU,발,
潒,象,象,dàng,dong6,TOU DOU SHOU ZOU,TADAYOU,상,
潓,惠,屮,huì,,KEI E,,,
潔,絜,丯,jié,git3,KETSU,ISAGYOI,결,khiết
潕,無,,wǔ,mou5,,,,
潖,琶,巴,pá,paa4,,,,
潗,集,集,jí,,SHUU,WAKU,집,bập
潘,番,釆,pān,pun1,HAN,SHIROMIZU UZUMAKI AFURERU,반,
潙,爲,爲,wéi,,KI I,,규,vơi
潚,肅,肅,sù,siu1,SHUKU SHOU SHUU,KIYOI,숙,
潛,朁,兓,qián,cim4,SEN,HISOMU MOGURU,잠,tiềm
潜,替,替,qián,cim4,SEN,HISOMU MOGURU,잠,
潝,翕,合,xī,jap1 kap1,KYUU KOU OU YOU,,흡,
潞,路,各,lù,lou6,RO RU,,로,
潟,舄,舄,xì,coek3 sik1,SEKI,KATA,석,
潠,巽,巽,xùn,seon3,,,,lún
潡,敦,亨,dùn,,TON DON,OOMIZU,돈,
潢,,,huáng,wong4,KOU OU,IKE,황,
潣,閔,文,mǐn,,,,민,
潤,閏,閏,rùn,jeon6,JUN,URUOU URUMU MEGUMI,윤,nhuần
潥,粟,粟,sù,,,,,
潦,尞,尞,lǎo,liu2 liu4 lou5,ROU,NIWATAZUMI,로 료,lẻo
潧,,,zhēn,,,,,
潨,衆,衆,cóng,,SOU ZU SHOU SHU ZOU,ATSUMARU MIZUAI KISHI,,
潩,異,異,yì,ji6,,,,
潪,智,矢,zhè,,,,,
潫,絭,龹,wān,waan1,,,,
潬,,,shàn,taan1,TAN DAN SEN ZEN,SU,,
潭,覃,覃,tán,taam4,TAN SHIN,FUCHI FUKAI,담,đằm
潮,朝,朝,cháo,ciu4,CHOU,SHIO USHIO,조,triều
潯,尋,尋,xún,cam4,JIN,FUCHI,심,tầm
潰,貴,臾,kuì,kui2,KAI E,TSUIERU TSUBURE,궤,hói
潱,壹,壹,yē,,,,열,
潲,稍,小,shào,saau3 sau3,,,,
潳,屠,者,tú,,,,,
潴,猪,者,zhū,zyu1,CHO,MIZUTAMARI,저,
潵,散,散,sǎ,,,,,
潶,,,hēi,,,,,
潷,筆,筆,bì,bat1 bei3,,,,vuốt
潸,1,潸,shān,saan1,SAN,,산,
潹,森,森,chán,saan4,,,,
潺,孱,孨,chán,saan4,SAN SEN,,잔,sờn
潻,,,shǔ,,,,,
潼,童,童,tóng,tung4,DOU TOU,,동,
潽,普,並,pū,,HO FU,,보,
潾,,,lín,leon4,RIN RAN REN,KIYOI,린,
潿,圍,囗,wéi,wai4,,,,
澀,歰,,sè,gip3 saap3 sap1 sap3,JUU SHUU,SHIBUI SHIBU,,
澁,歮,歮,sè,sap1,JUU,SHIBUI SHIBU,삽,
澂,𢽠,,chéng,cing4,CHOU,SUMU,징,
澃,須,須,jiǒng,,GEI KYOU,KIYOI,,
澄,登,登,chéng,cing4 dang6,CHOU,SUMU SUMASU SUMI,징,chừng
澅,畫,畫,huà,,,,,
澆,堯,垚,jiāo,giu1 hiu1,GYOU,SOSOGU,요,khú nhão
澇,勞,勞,lào,lou6,ROU,OONAMI,로,
澈,,,chè,cit3,TETSU DECHI,KIYOI,철,
澉,敢,敢,gǎn,gam2,,,감,
澊,尊,尊,cūn,cyun1,,,,
澋,景,京,hòng,,KOU GYOU KEI,MEGURU,횡,
澌,斯,其,sī,si1,SHI SEI SAI,TSUKIRU,시,
澍,尌,壴,shù,syu6,SHU JU,URUOU,주,
澎,彭,彡,pēng,paang1 paang4,HOU,,팽,dề bành
澏,嵒,品,hán,,,,,
澐,雲,云,yún,wan4,UN,,운,
澑,畱,丣,liù,,RYUU,SHITATARU TAMERU TAMARI,,
澒,項,工,hòng,hung3 hung6,KOU KU GU,,홍,
澓,復,复,fú,,FUKU BUKU,,,
澔,皓,告,hào,hou4 hou6,KOU,HIROI,호,
澕,華,華,hé,,,,화,
澖,閑,閑,xián,,KAN GEN,HATEGANAI,한,
澗,間,間,jiàn,gaan3,KAN KEN,TANI TANIMIZU,간,
澘,,,shān,,,,산,
澙,舃,舃,xì,,SEKI,KATA,,
澚,,,yu,,IKU OKU,OKI KUMA,,
澛,鲁,,lǔ,,,,,
澜,阑,柬,lán,laan4,,,,
澝,甯,,nìng,ling6 ning6,,,,
澞,虞,呉,yú,,,,,
澟,稟,㐭,lǐn,lam5,RIN,SAMUI,름,
澠,黽,黽,miǎn,man5 sing4,SHOU JOU BIN MIN,,,
澡,喿,喿,zǎo,cou3 zou2,SOU,ARAU,조,
澢,當,向,dāng,,,,,
澣,幹,龺,huàn,wun2 wun5,KAN,ARAU,한,
澤,睪,幸,zé,zaak6,TAKU,SAWA,택,rạch
澥,解,解,xiè,haai5,KAI GE,,해,
澦,預,予,yù,jyu6,YO,,,
澧,豊,豊,lǐ,lai5,REI RAI,,례,
澨,筮,巫,shì,sai6,SEI ZEI EI,TSUKIJI,서,
澩,,,xué,hok6,,,,
澪,零,令,líng,,REI,MIO,령,
澫,萬,萬,wàn,,,,,
澬,資,二,zī,,,,,
澭,雍,雍,yōng,jung1,,,,
澮,會,會,huì,kui2,KAI KE WAI E,,회,gội
澯,粲,,càn,caan3,SAN,KIYOI,찬,
澰,僉,僉,liàn,lim6,REN,NAGISA,,
澱,殿,,diàn,din6,TEN DEN,ORI DORO YODOMU,전,
澲,業,業,yè,,,,,
澳,奧,奧,ào,juk1 ou3,IKU OKU OU,KUMA OKI,오,
澴,睘,袁,huán,waan4,,,,
澵,新,亲,zhēn,zeon1,SHIN,,,
澶,亶,亶,chán,sin4,SEN ZEN TEN DEN,,전,
澷,㬅,㬅,màn,,,,,
澸,感,咸,dǎn,,,,,
澹,詹,詹,dàn,daam6 taam4,TAN SEN,AWAI,담,
澺,意,意,yì,jik1,,,,
澻,遂,豕,suì,seoi6,,,,
澼,辟,辟,pì,pik1,HEKI HYAKU KEKI,TADAYOI,,
澽,豦,豦,jù,geoi3 geoi6,,,,
澾,達,大,tà,taat3,,,달,dạt
澿,禁,林,qín,,,,,
激,敫,方,jī,gik1,GEKI KEKI,HAGESHII HAGESHIKU HAGEMASU,격,váng khích
濁,蜀,蜀,zhuó,zuk6,DAKU,NIGORU NIGOSU NIGORI,탁,trọc
濂,廉,兼,lián,lim4,REN DEN,USUI MAJIERU,렴,
濃,農,農,nóng,jung4 nung4,NOU JOU,KOI KOMAYAKA,농,nống
濄,過,冎,guō,wo1,,,,
濅,,,jìn,,SHIN,URUOU HITASU,,
濆,賁,卉,fén,fan4 pan3,FUN HON,WAKU HOTORI,분,
濇,嗇,嗇,sè,saap3 sap1 sik1,SHOKU SHIKI SHUU,TODOKOORU,색,
濈,戢,咠,jí,cap1,SHUU SOU JOU,YAWARAGU,,xắp
濉,睢,,suī,seoi1,,,수,
濊,歲,戌,huì,kut3 wai3,KAI KE SAI SE WAI,,예,
濋,楚,疋,chǔ,co2,,,,
濌,沓,沓,tà,,,,,
濍,葱,匆,sōng,,,,,
濎,鼎,鼎,dǐng,ding2 ting5,,,,
濏,瑟,必,sè,,,,,
濐,暑,者,zhǔ,,,,,
濑,赖,,lài,laai6,,,,
濒,频,,bīn,ban1 pan4,,,,
濓,亷,,lián,lim4,,,,nhèm
濔,爾,尒,mǐ,mei5 nei5,DEI NAI,,니 미,nhễ
濕,㬎,㬎,shī,sap1,SHITSU SHUU,SHIMERU,습,lậu thấp
濖,署,者,shù,,,,,
濗,幕,莫,mì,,,,,
濘,寧,寍,nìng,ning6,NEI,NUKARU,녕,
濙,熒,,yíng,jing4,,,,
濚,榮,,yíng,jing4,EI YOU,OGAWA,영,
濛,蒙,冡,méng,mung4,,,몽,mông
濜,盡,聿,jìn,zeon6,,,,
濝,綦,,qí,,,,,
濞,鼻,甶,bì,pei3,HI HEI HAI BI,,비,tia
濟,齊,齊,jì,zai2 zai3,SAI SEI,SUMU,제,
濠,豪,,háo,hou4,GOU,HORI,호,
濡,需,而,rú,jyu4 nyun5,JU NYU,URUOU NURERU URUOSU,유,nhụa
濢,翠,卒,cuì,,,,,
濣,斡,龺,wò,,,,,
濤,壽,壽,tāo,tou4,TOU,NAMI,도,đào
濥,夤,寅,yǐn,,,,인,
濦,㥯,,yǐn,jan2,,,은,
濧,對,對,duì,,,,,đuối
濨,慈,,cí,,SHI JI,,,
濩,蒦,隻,huò,wok6 wu6,KAKU WAKU,,호,
濪,,,qìng,,,,,
濫,監,監,làn,laam6,RAN,MIDARERU MIDARINI,남 람,lạm
濬,睿,睿,jùn,zeon3,SHUN,SARAU FUKAI TONAERU,준,
濭,蓋,去,ǎi,,,,,
濮,僕,菐,pú,buk6,HOKU BOKU,,복,
濯,翟,翟,zhuó,zok6,TAKU,ARAU,탁,
濰,維,隹,wéi,wai4,I YUI,,,
濱,賓,賓,bīn,ban1,HIN HOU,HAMA,빈,
濲,穀,,gǔ,guk1,,,,
濳,朁,兓,qián,cim4,SEN,HISOMU MOGURU,잠,
濴,滎,,yíng,jing4,,,영,
濵,賔,賔,bīn,ban1,HIN,HAMA,,
濶,活,干,kuò,fut3,KATSU,HIROI,활,
濷,滿,㒼,fèi,,,,,
濸,蒼,倉,cāng,cong1,,,,
濹,墨,黑,me,,,BOKU,,
濺,賤,戔,jiàn,cin2 cin3 zin1 zin3,SEN,SOSOGU,천,
濻,,,wěi,,,,,
濼,樂,樂,luò,bok6 lok6,ROKU HOKU,,,nhợt
濽,賛,先,zàn,,SAN,,,
濾,慮,虍,lǜ,leoi6,RYO RO,KOSU,려 여,
濿,厲,萬,lì,lai6,,,,
瀀,憂,,yōu,,YUU U,ATSUI,,
瀁,養,羊,yàng,joeng6,YOU,,양,
瀂,魯,魚,lǔ,,,,,rỏ
瀃,賜,易,sì,ci3,,,,
瀄,節,卩,zhì,zit1 zit3,,,,
瀅,瑩,,yíng,jing4,EI YOU KEI KYOU,OGAWA,형,
瀆,賣,買,dú,duk6,TOKU TOU,MIZO KEGASU KEGARE,독,
瀇,廣,炗,wǎng,wong2,OU KOU,,왕,
瀈,,,huī,,,,,
瀉,寫,舃,xiè,se2 se3,SHA,SOSOGU HAKU,사,tả
瀊,盤,般,pán,,,,,
瀋,審,釆,shěn,sam2,SHIN,SHIRU,심,thẳm
瀌,麃,麃,biāo,biu1,,,,
瀍,廛,廛,chán,cin4,TEN DEN,,,
瀎,蔑,𦭝,mò,mut6,,,,
瀏,劉,劉,liú,lau4,RYUU,KIYOI,류,
瀐,韯,韯,jiān,,,,,tươm
瀑,暴,暴,pù,buk6,BAKU HOU BOKU,NIWAKAUME TAKI,폭,
瀒,,,sè,,SHOKU,SHIBURU,색,
瀓,徵,,chéng,,CHOU,,징,
瀔,穀,,gǔ,guk1,,,,
瀕,頻,頻,bīn,ban1 pan4,HIN,HOTORI,빈,
瀖,霍,霍,huò,,,,,
瀗,憲,,xiàn,,KEN KON,,,
瀘,盧,𧆨,lú,lou4,RO,,로,lư
瀙,親,亲,qìn,can3,,,,
瀚,翰,龺,hàn,hon6,KAN,HIROI,한,
瀛,嬴,亡,yíng,jing4,EI,UMI,영,
瀜,融,虫,róng,jung4,,,융,
瀝,歴,秝,lì,lik1 lik6,REKI,SHITATARU,력,lạch
瀞,靜,爭,jìng,zing6,JOU SEI,KYOI TORO,정,
瀟,蕭,肅,xiāo,siu1,SHOU,KIYOSHI,소,
瀠,縈,,yíng,jing4,EI YOU,NAGARERU,,
瀡,隨,,suǐ,seoi5,,,,
瀢,遺,臾,wěi,,,,,
瀣,韰,,xiè,haai6,KAI GAI,MIZU,해,
瀤,褱,眔,huái,,,,,
瀥,,,xuè,,,,,
瀦,豬,者,zhū,zyu1,CHO,MIZUTAMARI,저,
瀧,龍,龍,lóng,lung4 soeng1,SOU ROU,TAKI,롱,rông
瀨,賴,束,lài,laai6,RAI,SE,뢰,
瀩,,,duì,,,,,
瀪,敏,母,fán,,,,,
瀫,,,hú,huk1 huk6,,,,
瀬,頼,頼,lài,laai6,RAI,SE,,
瀭,輸,兪,shū,,,,,
瀮,霖,林,ling,,,,,
瀯,營,,yíng,jing4,EI YOU,OGAWA,영,
瀰,彌,尒,mí,mei4 nei4,BI MI,NAGARERU NAGARE,미,
瀱,罽,炎,jì,gai3,,,,
瀲,斂,僉,liàn,lim6,REN,UKABU MIGIWA,렴,
瀳,薦,廌,jiàn,,,,,
瀴,嬰,賏,yíng,jing1 jing2,EI YOU,HUKAI,,
瀵,糞,糞,fèn,fan3,,,,
瀶,臨,品,lín,,,,,
瀷,翼,異,yì,jik6,YOKU IKI SHOKU SHIKI,NAGARE,익,
瀸,韱,㦰,jiān,cim1 zim1,,,첨,
瀹,龠,龠,yuè,joek6,SEKU YOU,HITASU,,
瀺,毚,㲋,chán,caam4,,,,
瀻,戴,,dài,,,,,
瀼,襄,襄,ráng,joeng4,JOU NYOU DOU NOU,,양,
瀽,蹇,,jiǎn,,,,,
瀾,闌,柬,lán,laan4,RAN,NAMI,란,nhắm làn
瀿,繁,母,fán,faan4,,,,
灀,霜,相,shuàng,,,,,
灁,,,yuān,,,,,
灂,爵,爵,zhuó,ziu3 zok6 zuk1,,,,
灃,豐,豐,fēng,fung1,FUU FU HOU,,,
灄,聶,聶,shè,sip3,SHOU JOU NYOU,,섭,
灅,壘,畾,lěi,leoi5,,,,
灆,藍,監,lán,,,,람,
灇,叢,取,cóng,,,,,
灈,瞿,䀠,qú,keoi4,KU GU,,,
灉,雝,邕,yōng,jung1,YOU YU,,,
灊,鬵,兓,qián,cim4,SEN ZEN SHIN JIN,,,
灋,,,fǎ,faat3,HOU HATSU HOTSU,NORI,,
灌,雚,吅,guàn,gun3,KAN,SOSOGU,관,
灍,闕,欠,jué,kyut3,,,,
灎,豔,去,yàn,,EN,NAMI,염,
灏,,,hào,hou6,,,,
灐,鎣,,yíng,jing4,,,형,
灑,麗,丽,sǎ,saa2,SAI SHA,SOSOGU,쇄,ngơ rợi
灒,贊,先,zàn,zaan3 zaan6,,,,
灓,䜌,䜌,luán,,,,란,
灔,艶,盇,yàn,jim6,EN,NAMI,,
灕,離,离,lí,lei4,RI,SHIMIKOMU,,
灖,靡,麻,mǐ,,,,,
灗,蟺,亶,shàn,,,,,
灘,難,難,tān,taan1 taan5,DAN KAN,SE NADA,탄,
灙,黨,向,dǎng,,,,,
灚,覺,,jiǎo,,,,,
灛,,,chǎn,cin2,,,,
灜,贏,亡,yíng,jing4,,,,
灝,,,hào,hou6,KOU GOU KAN KON,MAMEJIRU,호,
灞,霸,革,bà,baa3,HA,HATAGASHIRA,파,
灟,屬,蜀,zhú,,,,,luộc
灠,覽,,lǎn,laam5 laam6,,,,
灡,蘭,柬,lán,laan4,,,,làn
灢,囊,囊,nǎng,nong5,,,,
灣,彎,䜌,wān,waan1 waan4,WAN,IRIKOMU,만,
灤,欒,䜌,luán,lyun4,RAN,NAGARERU,,
灥,,,xún,,SHUN JUN SEN,TAKUSANNOIZUMI,,
灦,顯,㬎,xiǎn,,,,현,
灧,艷,盇,yàn,jim6,EN,NAMI,,
灨,贛,工,gàn,gam3,,,,
灩,豔,去,yàn,jim6,EN,NAMI,염,
灪,鬱,鬱,yù,,,,,
火,0,火,huǒ,fo2,KA KO,HI YAKU,화,hoả
灬,,,biāo,biu1,HYOU KA,RETSUKA,,
灭,0,灭,miè,mit6,,,,
灮,,,guāng,gong1 gwong1,KOU,HIKAARU HIKARI,,
灯,丁,丁,dēng,dang1,TOU TEI CHOU,HI,정,đăng
灰,0,灰,huī,fui1,KAI,HAI,회,hôi
灱,,,xiāo,,,,,
灲,,,xiāo,,,,,
灳,,,huī,,,,,
灴,,,hōng,hung4,,,,
灵,0,灵,líng,ling4,REI RYOU,TAMA,,linh
灶,,,zào,zou3,SOU,KAMA KAMADO HETSUTSUI,,táo
灷,,,zhuàn,zyun6,,,,
灸,久,久,jiǔ,gau3,KYUU,YAITO,구,cứu
灹,乇,乇,zhà,zaa3,,,,
灺,,,xiè,ce6 se3,,,,
灻,,,chì,,,,,
灼,勺,勺,zhuó,coek3 zoek3,SHAKU,YAKU,작,chước
災,𡿧,𡿧,zāi,zoi1,SAI,WAZAWAI,재,tai
灾,,,zāi,zoi1,SAI,WAZAWAAI,재,tai
灿,,,càn,can3,,,,
炀,,,yáng,joeng4,,,,
炁,,,qì,hei3,KI KE,,기,
炂,公,公,zhōng,,,,,
炃,,,fén,,,,,
炄,,,niǔ,,,,,
炅,,,jiǒng,gwai6 gwing2,KEI KYOU EI YOU,ARAWARERU,경,
炆,文,文,wén,man1,BUN MON,ATATAKA,문,
炇,,,pū,,,,,
炈,,,yì,,,,,
炉,戸,戸,lú,lou4,RO,IRORI,,
炊,欠,欠,chuī,ceoi1,SUI,TAKU KASHIGU,취,tròn sôi
炋,,,pī,pui1,,,,
炌,介,介,kài,,,,,
炍,反,反,pàn,,,,,
炎,0,炎,yán,jim4,EN TAN,HONOO MOERU,담 염,viêm
炏,,,kài,kaai3,,,,
炐,,,pàng,,,,,phừng
炑,,,mù,,,,,
炒,少,丿,chǎo,caau2,SOU SHOU,IRU ITAMERU,초,sao
炓,,,liào,liu6,,,,
炔,夬,夬,guì,gai3 kyut3,KEI KE KETSU KECHI,,,
炕,亢,亢,kàng,hong3 kong3,KOU,ABURU,항,
炖,屯,屯,dùn,dan6 deon6,TON DON,,,đoái đùn
炗,0,炗,guāng,,KOU,HIKAARU HIKARI,,
炘,,,xīn,jan1,KIN KON,ABURU,흔,
炙,0,炙,zhì,zek3 zik3,SHA SEKI,ABURU,자 적,
炚,,,guāng,,,,광,
炛,,,guāng,,YOU KYOU,TERUSU,광,
炜,韋,囗,wěi,wai5,,,,
炝,倉,倉,qiàng,coeng3,,,,
炞,卞,卞,bian,,,,,
炟,,,dá,,,,,rán
炠,,,xiá,saap6,,,,
炡,,,zhēng,,,,정,
炢,术,术,zhú,,,,,
炣,,,kě,ho2,,,,
炤,,,zhào,ziu3,SHOU SHAKU,TERU,소,chiếu
炥,,,fú,fat6,,,,phụt
