glyph,phonetic,family,pinyin,cantonese,on,kun,korean,vietnamese
㑔,,,xǔ,seoi2,,,,
㑕,岁,,,,,,,
㑖,仲,中,,,,,,
㑗,,,shēn,saan1 saan6,,,,
㑘,戒,戒,jiè,gaai3,,,,
㑙,,,dié,dip6,,,,
㑚,那,冄,nuó,naa4 no4,,,,
㑛,,,sù,cuk1,,,,
㑜,折,折,yì,zaai6,,,,
㑝,弄,弄,lòng,lung6,,,,
㑞,灷,,yìng,zing6,,,,
㑟,兵,兵,běng,mang1,,,,
㑠,坚,,,,,,,
㑡,,,,,,,,
㑢,,,,,,,,
㑣,,,lán,lam2 lam4,,,,
㑤,苗,苗,miáo,miu4,,,,
㑥,,,yì,zi6,,,,
㑦,戾,戾,lì,leoi6,,,,
㑧,季,季,jì,gwai3,,,,
㑨,,,yǔ,zyu5,,,,
㑩,羅,隹,luó,lo4,,,,
㑪,齊,齊,chái,caai4,,,,
㑫,念,今,,,,,,nộm
㑬,姑,古,,,,,,
㑭,,,,,,,,
㑮,軍,軍,hún,gwaat1 waan4,,,,
㑯,,,xǔ,seoi1,,,,
㑰,彖,彖,huì,fui4,,,,
㑱,柔,矛,rǎo,nau4,,,,
㑲,,,,,,,,
㑳,芻,芻,zhòu,zaau3,,,,
㑴,,,,caam1 cam1,,,,
㑵,疾,乙,hàn,zat6,,,,
㑶,氣,氣,xì,haai4 hei3,,,,
㑷,能,能,tài,taai3,,,,
㑸,,,yáo,ziu4,,,,
㑹,,,huì,gwat3 mok6 wui6,,,,
㑺,隽,隽,jùn,zeoi6 zeon3,,,,
㑻,密,必,mà,maa6 mei5,,,,
㑼,略,各,lüè,loek6,,,,
㑽,堂,向,táng,tong4,,,,
㑾,䚻,,yáo,ziu4,,,,
㑿,巢,巢,zhào,coek3 huk6 zau3 ziu6,,,,
㒀,啇,帝,zhāi,cim4 cip3 zak6,,,,
㒁,圉,幸,yǔ,sou3 zyu5,,,,
㒂,著,者,zhuó,zoek6,,,,
㒃,貳,二,èr,zi6,,,,
㒄,然,犬,rǎn,ngam4 zim5,,,,
㒅,袲,,qǐ,kai2,,,,
㒆,翕,合,chì,kap1,,,,
㒇,無,,wǔ,ng5,,,,
㒈,敢,敢,hàn,hon6,,,,
㒉,棠,向,tǎng,tong2,,,,
㒊,歰,,sè,saap1 sik1,,,,
㒋,斯,其,,si1,,,,
㒌,焭,,qióng,king4,,,,
㒍,絫,,léi,leoi5,,,,
㒎,䨿,,sà,sat3,,,,
㒏,,,,,,,,
㒐,筍,旬,,,,,,
㒑,匯,隹,kuǐ,hung2 kui2 wak6,,,,
㒒,業,業,pú,buk6,,,,
㒓,達,大,tà,taat3,,,,
㒔,蜀,蜀,shú,suk6,,,,
㒕,雍,雍,yāng,zoeng1,,,,
㒖,萬,萬,ǒu,ngaau5,,,,
㒗,䑓,,tái,toi4,,,,
㒘,竪,竪,,,,,,
㒙,綿,白,mián,min4 min6,,,,
㒚,㥯,,yìn,waan2,,,은,
㒛,翟,翟,diào,deoi2 diu6,,,,
㒜,與,与,yǔ,zyu5,,,,
㒝,蔑,𦭝,miè,mit6 ziu5,,,,
㒞,嶲,雋,jùn,zeon3,,,,
㒟,褭,,niǎo,niu5 seoi1,,,,
㒠,韰,,xiè,haai6,,,,
㒡,繇,肉,yóu,zaau4,,,,
㒢,,,,,,,,
㒣,,,,,,,,
㒤,聶,聶,chè,sip3 zip3,,,,
㒥,豐,豐,fēng,fung1 gaam2,,,,
㒦,壘,畾,lěi,deoi3 leoi5,,,,
㒧,離,离,lì,lai6,,,,
㒨,,,,sin1,,,,
㒩,蠡,彖,luǒ,lo2,,,,
㒪,,,,sek3,,,,
㒫,,,jì,gei3 hei2,,,,
㒬,,,,,,,,
㒭,,,,kwaan1 kwaan1 leoi4,,,,
㒮,,,,,,,,
㒯,華,華,,jip6,,,,
㒰,,,quán,cyun4 zan2,,,,
㒱,,,,,,,,
㒲,,,cái,coi4,,,,
㒳,0,㒳,liǎng,loeng5,,,,
㒴,,,gǔ,gwat1,,,,
㒵,,,mào,mau6 mo1,,,,
㒶,,,,gung1,,,,
㒷,,,guǎ,hing2 hing3,,,,
㒸,豕,豕,suì,seoi6,,,,
㒹,真,真,,din1,,,,
㒺,,,,,,,,
㒻,冃,冃,mào,mou6,,,,
㒼,0,㒼,mán,mang4 mun4,,,,
㒽,卷,龹,quān,hyun1,,,,
㒾,施,也,shì,si6,,,,
㒿,離,离,lí,lei4,,,,
㓀,,,,,,,,
㓁,,,wǎng,mong5,,,,
㓂,,,kòu,kaau3 taau3,,,,
㓃,託,乇,dù,dou3,,,,
㓄,,,zhèn,saam2 zaam3,,,,
㓅,,,tīng,ding1 ting1,,,,
㓆,,,,,,,,
㓇,,,,,,,,
㓈,,,bìng,bing1,,,,
㓉,,,huò,gwaat3 gwat3 kut3 wun6 wut6,,,,
㓊,,,dòng,dung6,,,,
㓋,,,gòng,gung6,,,,
㓌,全,全,chēng,cang1 gwai3 ting4 tong3,,,,
㓍,,,,,,,,
㓎,,,qīn,caam1 saam6,,,,
㓏,冏,冏,jiǒng,gwing2,,,,
㓐,坴,圥,lù,luk6,,,,
㓑,幸,幸,xìng,haang6,,,,
㓒,,,,,,,,
㓓,南,南,nán,lam5 nam4,,,,
㓔,射,射,xiè,ze6,,,,
㓕,烕,灭,,,,,,
㓖,畢,畢,bì,bit1,,,,
㓗,絜,丯,jié,git3,,,결,
㓘,夙,夙,sù,suk1,,,,
㓙,,,,hung1 kung4,,,,
㓚,,,gōng,geoi6 gung1 kung4,,,,
㓛,,,,gung1,,,,
㓜,,,yòu,zaau3 ziu3,,,,
㓝,,,xíng,zing4,,,,
㓞,丯,丯,qià,kaai3,,,,
㓟,,,pí,ngo4 pai1 pei1,,,,phay
㓠,,,diàn,dim3,,,,chẻm
㓡,,,fǔ,fu2,,,,
㓢,,,luò,lok3,,,,
㓣,,,qià,got3 zak6,,,,
㓤,,,qià,gat1 hot3 kit3 kit6,,,,
㓥,當,向,tāng,tong1,,,,
㓦,百,白,bāi,bak3,,,,
㓧,含,今,gān,deoi1 haang1 zim1 zim2,,,,
㓨,,,cí,ci3,,,,
㓩,,,xuān,fan3 hin2 hyun1,,,,
㓪,,,lǎng,long5,,,,
㓫,,,,,,,,
㓬,券,龹,,fu1,,,,
㓭,,,shé,hot3,,,,
㓮,,,,diu1,,,,
㓯,,,lí,lei4,,,,
㓰,画,画,huà,waak6,,,,
㓱,,,tóu,syu1,,,,
㓲,扁,扁,piān,pin3,,,,
㓳,,,dī,dai1,,,,
㓴,耎,而,ruǎn,zyun5,,,,
㓵,咢,屰,è,ngok6,,,,
㓶,契,丯,qiè,kit3,,,,khía
㓷,臬,臬,yì,nau4 zi6,,,,
㓸,,,zhuō,coek3 sau2 zoek3,,,,
㓹,,,ruì,zeoi6,,,,
㓺,虔,文,jiān,gin1 gin6 kin4,,,,
㓻,罡,正,,gong1,,,,
㓼,桼,桼,chì,,,,,
㓽,崇,宗,chóng,sung4,,,,
㓾,犀,㞑,xī,sai1,,,,
㓿,,,,,,,,
㔀,景,京,lüè,king4,,,,
㔁,登,登,dēng,daang1 taang1,,,,
㔂,,,lín,leon4,,,,
㔃,絕,,jué,zyut6,,,,
㔄,粟,粟,sù,suk1,,,,
㔅,肅,肅,xiào,siu3,,,,
㔆,朁,兓,zàn,caam5,,,,
㔇,發,癹,,put3,,,,
㔈,菲,非,,,,,,
㔉,属,禹,zhǔ,cung2 zuk1,,,,
㔊,亶,亶,zhǎn,tan2,,,,
㔋,監,監,jiān,ham3 ham5 lam6,,,,
㔌,聚,取,zòu,sei3 tam3 zap3 zau6 zek3 zik3,,,,
㔍,算,算,chuā,cap3 zaa3 zaai3,,,,
㔎,辥,𡶫,xiè,sit3,,,,
㔏,磊,磊,lì,gak3 lik6,,,,
㔐,,,,cim1,,,,
㔑,薛,𡶫,chì,,,,,
㔒,巂,隹,xí,kwai4,,,,
㔓,,,jiǎn,gin2 zin2,,,,
㔔,,,,,,,,
㔕,,,jí,gaat1 kaau1,,,글,
㔖,,,,,,,,
㔗,,,fèi,bei6 faai3 fan4 gaat1 ngaat6,,,,
㔘,,,chù,zeot1,,,,
㔙,,,bēng,ping1,,,,
㔚,1,㔚,jié,aau2 haau2,,,,
㔛,,,,,,,,
㔜,孚,孚,bá,but6,,,,
㔝,兩,㒳,liǎng,loeng5,,,,
㔞,乖,乖,kuài,fai3,,,,
㔟,,,,,,,,
㔠,,,xiā,hat6,,,,
㔡,,,biē,bit3,,,별,
㔢,絕,,jué,waai4 zyut6,,,,
㔣,畾,畾,léi,leoi4,,,,
㔤,審,釆,xìn,saam2,,,,
㔥,罷,能,bài,baai6 pei4,,,,
㔦,養,羊,yǎng,zoeng5 zoeng6,,,,
㔧,盧,𧆨,lǜ,leoi6,,,,
㔨,背,北,bèi,bui3,,,,
㔩,盍,去,è,aap6,,,,
㔪,,,lǔ,lou5,,,,
㔫,,,,,,,,
㔬,,,,coek3 zau3,,,,
㔭,,,chè,ci4,,,,
㔮,能,能,nuó,,,,,
㔯,㕣,㕣,xuán,syun3,,,,
㔰,外,外,héng,hang4,,,,
㔱,臾,臾,yǔ,zyu5,,,,
㔲,,,,,,,,
㔳,飢,几,guǐ,gei2 gwaai2,,,,
㔴,異,異,yì,zik6,,,,
㔵,巽,巽,xuǎn,syun2 wan4,,,,
㔶,贛,工,gòng,gaam2 gung3 zi1,,,,
㔷,丙,丙,lòu,lau6,,,,
㔸,虒,虒,tī,cam2 taai1 zyun1,,,,
㔹,,,lè,lak6,,,,
㔺,,,shì,saai3 si6,,,,
㔻,,,,pei1,,,,
㔼,推,隹,sǔn,seon2,,,,
㔽,,,yào,zaau5,,,,
㔾,0,㔾,xiān,zit3,,,,
㔿,,,zòu,zau3,,,,
㕀,,,,,,,,
㕁,,,què,koek3,,,,
㕂,,,yín,zaam4 zaam6,,,,
㕃,,,xī,him3 kaai1 lim4 zap3,,,,
㕄,,,zhǐ,zi3,,,,
㕅,,,jiá,gaap3,,,,
㕆,,,hù,wu6,,,,
㕇,,,lā,lap3,,,,
㕈,衣,衣,yǐ,at3 zi2,,,,
㕉,,,kè,,,,,
㕊,,,fū,bou1 bou1,,,,
㕋,,,qín,kam4,,,,
㕌,㝵,㝵,ài,ngoi6 zak6,,,,
㕍,,,,deoi1,,,,
㕎,盍,去,kè,,,,,
㕏,㪷,,chú,cyu4,,,,
㕐,舄,舄,xiě,se2,,,,
㕑,尌,壴,chú,ceoi4 cyu4,,,,
㕒,義,我,wēi,faai1 waai4 waai6,,,,
㕓,墨,黑,,cin4,,,,
㕔,聽,壬,,teng1 ting1,,,,
㕕,0,㕕,huàn,nap6 wan6,,,,
㕖,,,sù,sou3,,,,
㕗,羑,久,yòu,zaau5,,,,
㕘,,,,caam1 sam1,,,,
㕙,,,jùn,zeon3,,,,
㕚,叉,叉,zhǎo,zaau2,,,,
㕛,0,㕛,xù,zaau5,,,,
㕜,,,shǐ,sei3 si2,,,,
㕝,,,,,,,,
㕞,,,shuā,caat3,,,,
㕟,,,kuì,wai2,,,,
㕠,准,准,shuāng,soeng1,,,,
㕡,䜭,䜭,hé,hang1 kok3,,,,
㕢,,,gài,,,,,
㕣,0,㕣,yǎn,zin2,,,,
㕤,,,qiú,gwaai2 kaau4,,,,
㕥,,,shēn,zyu5,,,,
㕦,,,huà,waa6 zyu5,,,,
㕧,,,xī,si1,,,,
㕨,,,fàn,faan6,,,,
㕩,,,pàng,zoeng3,,,,
㕪,,,dǎn,dam2,,,,
㕫,,,fǎng,fong2,,,,
㕬,公,公,gōng,gung1 zung6,,,,
㕭,夭,夭,āo,au3 jaau1,,,,êu
㕮,父,父,fǔ,fu2,,,,
㕯,内,内,nè,neot6,,,,
㕰,,,xuè,huk6 maa3,,,,mau
㕱,,,yóu,zaau4,,,,
㕲,,,huá,muk1 zing4,,,,
㕳,凶,凶,,hung1,,,,
㕴,冗,冗,chén,caam4,,,,
㕵,,,guó,gwok3,,,,uống
㕶,五,五,ň,ng6,,,,
㕷,,,huà,pak1,,,,
㕸,,,lì,lai6 lap1 lap6,,,,lắp
㕹,,,fá,fat6,,,,
㕺,,,xiāo,hiu1,,,,
㕻,否,不,pǒu,faau2 fu3 taau3,,,,
㕼,匈,凶,,dung6 hung1,,,,
㕽,以,以,sì,cek3 ci5 ji5,,,,
㕾,,,,,,,,
㕿,,,,,,,,
㖀,聿,聿,lè,laak6 lak6 loet3,,,,
㖁,,,lìn,leon6,,,,
㖂,曳,丿,yì,zaai6,,,,
㖃,后,后,hǒu,haam1 haau3 haau6,,,,
㖄,州,州,,zaau1 zaau3,,,,
㖅,戌,戌,xù,seot1,,,,
㖆,曲,曲,qú,kuk1,,,,
㖇,,,ér,mei1 ji4 zi4,,,,nhe
㖈,,,,,,,,
㖉,企,止,,,,,,
㖊,寻,寸,xún,,,,,
㖋,,,,,,,,
㖌,仇,九,,,,,,
㖍,,,,,,,,
㖎,,,,,,,,
㖏,圼,圼,niè,nip6,,,,
㖐,尹,尹,wěi,do6 hei3 waai2,,,,
㖑,戒,戒,xiè,hai6,,,,nhái
㖒,弟,丿,tí,tai4,,,,
㖓,夆,丰,hóng,hung4,,,,
㖔,吞,天,tǔn,taan1,,,,
㖕,,,niè,zip6 zit6,,,,
㖖,,,niè,saan1 zip6 zit6,,,,
㖗,岑,今,yín,zaam4,,,,sùm
㖘,,,zhēn,san2 seon2,,,,
㖙,,,,,,,,
㖚,,,,,,,,
㖛,,,,,,,,
㖜,,,,,,,,
㖝,,,,,,,,
㖞,呙,呙,wāi,waa1,,,,
㖟,受,受,shòu,sau6,,,,
㖠,奈,示,nuò,nap6 no4,,,,nhại
㖡,夜,夜,yè,e6 ze6,,,,
㖢,庛,,qí,ci1,,,,
