glyph,phonetic,pinyin,cantonese,on,kun,korean,vietnamese
娡,志,zhì,zi3,,,,
娢,含,hán,,,,,
娣,弟,dì,dai6 tai5,TEI DAI,IMOUTO OBA,제,
娤,壯,zhuāng,zong1,SOU SHOU,YOSOOU,,
娥,我,é,ngo4,GA,MIMEYOI,아,nga
娦,兵,pín,,,,,
娧,兑,tuì,teoi3,TAI TE ETSU ECHI,MIMEYOI YOROKOBU,태,
娨,旱,xiàn,,BAN MAN KAN GEN,GOUMAN,,
娩,免,miǎn,maan5 min5,BEN HAN,UMU,만,
娪,吾,wú,m4 ng4,GO GYO,ONNA,,
娫,延,yán,jin4,,,연,
娬,武,wǔ,mou4 mou5,BU MU,KOBIRU,,
娭,矣,āi,aai1 ngaai1 oi1,KI AI,TAHOMURERU HASHITAME,애,
娮,言,yán,,DEN,,,
娯,呉,yú,,GO KU,TANOSHIMU,,
娰,似,sì,,JI SHI,ANE,,
娱,吴,yú,jyu4,,,,
娲,呙,wā,wo1,,,,
娳,利,lì,,,,,
娴,闲,xián,haan4,,,,
娵,取,jū,zau1 zeoi1,SHU SOU,YOME,추,
娶,取,qǔ,ceoi2 ceoi3,SHU,METORU,취,thú
娷,垂,zhuì,,TSUI SUI ZUI,,,
娸,,qī,hei1,KI,MINIKUI,,
娹,弦,xián,,KEN GEN,,,
娺,叕,zhuó,,,,,
娻,東,dōng,,,,,
娼,昌,chāng,coeng1,SHOU,ASOBIME,창,
娽,彖,lù,luk6,,,,
娾,厓,ǎi,,GAI GE GOU KYOU,YOROKOBU MIMEYOI,,
娿,阿,ē,,A,SADAMARANAI SHINAYAKANASAMA,아,
婀,阿,ē,o1 o2,A,TAOYAKA,아,
婁,0,lóu,lau4,ROU RU RUI,MUNASHII ARAI OSAMERU,루,lâu
婂,帛,mián,,,BEN MEN,,
婃,宗,cóng,,SOU SU,,,
婄,咅,pǒu,pau3,HOU BU BAI,OROKA MINIKUI,,
婅,匊,jú,guk1,KIKU KOKU,AZANA,,
婆,波,pó,po4,BA,BABA,파,bà
婇,采,cǎi,,SAI,UNEME,채,
婈,夌,líng,,RYOU,AZANA,,
婉,宛,wǎn,jyun2,EN,UTSUKUSHII,완 원,uyển
婊,表,biǎo,biu2,HYOU,,,
婋,,xiāo,,,,호 효,
婌,叔,shú,,SHUKU JUKU,,숙,
婍,,qǐ,,KI,MIMEYOI,,gả
婎,,huī,,,,,
婏,兔,fàn,,,,,
婐,,wǒ,gwo2 o1 wo2,WA KA,TAOYAKA HABERU,와,
婑,委,ruí,wo2,ZUI NI WA,HABERU,유,
婒,,tán,,TAN DAN,,,
婓,,fēi,fei1 fei4,HI,SAMAYOU,,
婔,,fēi,fei1,,,,
婕,疌,jié,zit3 zit6,SHOU,MIMEYOI,,
婖,忝,tiān,,TEN,,,
婗,兒,ní,nei4 ngai4,GEI,MIDORIGO AKAGONONAKIGOE,,
婘,卷,quán,gyun3 kyun4,KEN GEN,MIMEYOI YAKARI,,
婙,爭,jìng,zing6,,,,
婚,昏,hūn,fan1,KON,ENGUMI,혼,
婛,京,jīng,ging1,KEI KYOU,,,
婜,臤,qiān,,KAN KEN KIN,UTSUKUSHII,,
婝,定,diàn,,TEN DEN,,,
婞,幸,xìng,hang6,KEI GYOU KOU,MOTORU MATSUSUGU,,
婟,固,hù,wu6,KO GO,KOISHITAU OSHIMU YOI,,
婠,官,wān,waan1 wun1,WAN WATSU WACHI KAN KUWATSU GUWACHI,SHINAYOI MIMEYOISAMA,완,
婡,,lái,loi4,,,,
婢,卑,bì,pei5,HI,HASHITAME,비,tì
婣,,yīn,jan1,IN,,인,
婤,,chōu,zau1,SHUU SHU CHOU CHUU JUU,MIMEYOISAMA,,
婥,卓,nào,coek3,DOU NYOU TEKI JAKU SHAKU,MIMEYOI,,
婦,1,fù,fu5,FU,YOME ONNA,부,phụ
婧,青,jìng,zing6,SEI SHOU JUU,ATEYAKANASAMA SHINAYAKA,정 청,
婨,侖,lún,leon4,,,,
婩,岸,àn,,GEN GAN JAKU GAKU,TOTONOU MIMEYOI MUTSUTSURISURU,안,
婪,林,lán,laam4,RAN RIN,MUSABORU,람,lam
婫,昆,kūn,gwan1,,,,
婬,㸒,yín,jam4,IN,TAWAKERU MIDARI,,dâm
婭,亞,yà,aa3,A,AIMUKO KOSHIMOTO,아,ả
婮,居,jū,geoi1,,,,
婯,,lì,,,,,
婰,典,diǎn,,TEN,,,
婱,弦,xián,jin4,,,,
婲,花,huā,,,,화,
婳,画,huà,waak6,KAKU GYAKU,SHITOYAKA MIMEYOI,,
婴,,yīng,jing1,,,,
婵,單,chán,sim4 sin4,,,,
婶,审,shěn,sam2,,,,
婷,亭,tíng,ting4,TEI CHOU,UTSUKUSHII,정,
婸,昜,dàng,dong6,TOU DOU YOU,MIDARA TAWAMURERUSAMA WAWA,,
婹,要,yǎo,jiu2,,,,
婺,敄,wù,mou6,BU MU BOU BOKU MOKU,,,
婻,南,nàn,,DAN NAN,UTSUKUSHII,,
婼,若,chuò,coek3,SHAKU JI NI JA NYUU,,,
婽,叚,jiǎ,,KA KE,MIMEYOI,,
婾,兪,tōu,jyu4 tau1,TOU TSU YU,WARUGASHIKOI NUSUMU GOMAKASU,,
婿,胥,xù,sai3,SEI,MUKO,서,
媀,禺,yù,,,,,
媁,,wéi,wai4,,,,
媂,帝,dì,dai3,,,,
媃,柔,róu,,JUU NYU,,,
媄,美,měi,,BI MI,MIMEYOI,미,mẹ
媅,甚,dān,,,,,
媆,耎,ruǎn,nyun6,,,,
媇,亲,qīn,,,,,
媈,軍,huī,fai1,,,,
媉,屋,wò,,,,,
媊,前,qián,cin4,SEN ZEN SHI,,,
媋,春,chūn,,SHUN,UTSUKUSHII,,
媌,苗,miáo,maau4,BOU MYOU BOKU MOKU,MIMEYOI,,
媍,負,fù,,,,부,
媎,,jiě,,SO,,,chửa
媏,耑,duān,,TAN,,,
媐,巸,yí,hei1,KI I,TSUMA TANOSHIMU,이,
媑,,zhòng,zung6,,,,
媒,某,méi,mui4,BAI MAI BOU,NAKOUDO,매,mối
媓,皇,huáng,,KOU OU,HAHA,황,
媔,面,mián,min4,BEN MEN,NETAMU,,
媕,弇,ān,am1 om1,EN AN ON AU OU,,암,
媖,英,yīng,jing1,EI YUU,,,
媗,宣,xuān,,KEN KAN SEN,,,
媘,皆,jiē,,,,,
媙,威,wēi,wai1,I,UTSUKUSHII,,
媚,眉,mèi,mei4 mei6,BI,KOBIRU,미,
媛,爰,yuàn,jyun4 jyun6 wun4,EN,HIME,원,
媜,貞,zhēng,,TEI CHOU,AZANA,,
媝,秋,qiū,,SHUU SHU,,,
媞,,shì,tai4,SHI JI TEI DAI TAI TA,TSUMABIRAKA WARUGASHIKOI HAHA,시 제,
媟,枼,xiè,sit3,SETSU SECHI,KEGASU KEGARERU NARERU ANADORU,설,
媠,,tuǒ,do6 to5,TA DA NA RA,MIMEYOI OKOTARU MIMEYOISAMA,,
媡,柬,liàn,lin6,,,,
媢,冒,mào,mou6,BOU MOU BOKU MOKU BAI ME,NETAMU NIRAMU,모,
媣,染,rǎn,,,,,
媤,思,sī,si1,SHI,,시,
媥,扁,piān,pin1,HEN,,,
媦,胃,wèi,wai6,I,IMOUTO,,
媧,咼,wā,wo1,KAI KE KA,,왜,oa
媨,酋,cù,,,,,
媩,胡,hú,,KO GO,,,
媪,昷,ǎo,ou2,OU,OUNA,오 온,
媫,,jié,zit3,,,,
媬,保,bǎo,bou2,HO,,,
媭,须,xū,,SHU,ANE,,
媮,,tōu,tau1,TOU TSU YU,WARUGASHIKOI NUSUMU GOMAKASU,,
媯,爲,guī,gwai1,,,,
媰,芻,chú,co4 zau1,SHIU SU SHU JU,HARAMU MIMEYOI YAMOME,,
媱,䍃,yáo,jiu4,EU,MIMEYOI TAHAMURERU,,
媲,𣬉,pì,bei2 pei3,HEI HI BI,TSUREAHI,,
媳,息,xí,sik1,SEKI SHAKU,YOME,식,
媴,袁,yuán,,EN ON,,,
媵,,yìng,jing6,YOU,OKURU TSUKISOHI OKURIME OKURIBITO,잉,
媶,茸,róng,,JOU NYU,,,
媷,辱,rù,juk6,JOKU NIKU,OKOTARU,,
媸,蚩,chī,ci1,SHI,ANADORU OROKA MINIKUI MIDARU,,
媹,留,liú,,RIU RU,,,
媺,𢽠,měi,mei5,BI MI,YOI UTSUKUSHII,미,
媻,般,pán,po4 pun4,HAN BAN HA BA,OGORU MEKAKE YOROMEKU,반,
媼,𥁕,ǎo,ou2 wan2,OU,OUNA,온,
媽,馬,mā,maa1 maa2 maa5,BO MO,HAHA,마,má
媾,冓,gòu,gau3,KOU,YOSHIMI,구,
媿,,kuì,kwai3,KI,HAJIRU HAZUKASHIMERU TOGAMERU,괴,
嫀,秦,qín,,SHIN JIN,,,
嫁,家,jià,gaa3,KA KE,TOTSUGU YOME,가,giá
嫂,叟,sǎo,sou2,SOU,ANYOME,수,dâu
嫃,真,zhēn,zan1,,,,
嫄,原,yuán,jyun4,GEN GAN,,원,
嫅,差,jiē,,,,,
嫆,容,róng,,YOU YU,AZANA,,
嫇,冥,míng,ming4,BEI MYAU BAU,OZUOZUTOSURU,,
嫈,𤇾,yīng,jing1,SEU AU GEI GYOU EI KEI,MIMEYOISAMA MINIKUI MIMEYOISUGATA,앵,
嫉,疾,jí,zat6,SHITSU,NETAMU NIKUMU,질,
嫊,素,sù,,SO,,,
嫋,弱,niǎo,niu5,JOU JAKU DEKI,TAOYAKA SHINAYAKA,뇨,
嫌,兼,xián,jim4,KEN GEN,KIRAU UTAGAU,혐,hiềm
嫍,舀,tāo,,TAU TOU EU,,,
嫎,旁,páng,pong4,,,,
嫏,郎,láng,long4,ROU,,,
嫐,0,nǎo,nat1,JOU,NABURU,,
嫑,要,báo,biu3,,,,
嫒,爱,ài,oi3,,,,
嫓,,pì,pei3,,,,
嫔,宾,pín,pan4,,,,
嫕,悘,yì,ai3 ji3,EI,SHITOYAKA SUNAHO,예,
嫖,票,piáo,piu4,HYOU,KARUI,표,phếu
嫗,區,yù,jyu2,OU U,OUNA ATATAMERU,구,ẩu
嫘,累,léi,leoi4,RUI RAI RE,,,
嫙,旋,xuán,,SEN ZEN,MIMEYOI,선,
嫚,曼,mān,maan6,BAN MAN BEN MEN EN,ANADORU KEGASU OKOTARU OGORU,만,
嫛,殹,yī,ji1,EI I,MIDORIGO SUNAHO,예,
嫜,章,zhāng,zoeng1,SHAU,SHIUTO SHIUTOME,,
嫝,康,kāng,,KAU,,강,
嫞,庸,yōng,,SHOU JU CHOU CHU,,,
嫟,匿,nì,nik1,JIYUKU NIKI,MIDARA,,
嫠,,lí,lei4,RI,YAMOME,리,
嫡,啇,dí,dik1,CHAKU TEKI,YOTSUGI,적,đích
嫢,規,guī,kwai1,KI I GI SHI KEN GEN,AKIRAKA SHINAYAKA TAOYAKA,규,
嫣,焉,yān,jin1,EN,,언,
嫤,堇,jǐn,gan2,,,근,
嫥,專,zhuān,zyun1,SEN TAN DAN,MOTSUPARA TOTONOHERU,전,
嫦,常,cháng,soeng4,KOU GOU,,항,thường
嫧,責,zé,,,,,
嫨,,hān,,KAN ZEN NEN,IKARU TSUTSUSHIMU,,
嫩,敕,nèn,nyun6,DON NON ZEN,WAKAI,눈,non
嫪,翏,lào,lou6,RAU ROU,KOHISHITAHU NAYAMU,,
嫫,莫,mó,mou4,BO MO,SHIKOME,모,
嫬,庶,zhē,,SHA SHO,,,
嫭,虖,hù,wu6,KO GO,OTOME MIMEYOISAMA NETAMU,호,
嫮,雩,hù,wu6,KO GO,OTOME MIMEYOISAMA HOKORU,호,
嫯,敖,ào,,,,오,
嫰,欶,nèn,lyun6 nyun6,,,,
嫱,啬,qiáng,coeng4,,,,
嫲,,ma,maa4,,,,
嫳,敝,piè,pit3,HETSU HECHI,OKORU KARUISAMA,,
嫴,辜,gū,,KO KU,MAKASERU SHIBARAKU HAKARU SUUBERU,,
嫵,無,wǔ,mou4 mou5,BU MU,KOBIRU MIMEYOI,,
嫶,焦,qiáo,ciu4 ziu1,SEU ZEU,YATSURERU,초,
嫷,隋,tuǒ,to5,TA,MIMEYOI UTSUKUSHII,,
嫸,善,zhǎn,,SEN,HAZUKASHIMERU KATAKUNA,,
嫹,1,miáo,,BAU MEU,MIMEYOISAMA,,
嫺,閒,xián,haan4,KAN,MIYABIYAKA,한,
嫻,閑,xián,haan4,KAN,MIYABIYAKA,한,
嫼,,mò,,,,,
嫽,尞,liáo,liu4,REU RAU,TAWAMURERU MIMEYOI TAWARERU MIDARERU SATOI,료,
嫾,,lián,lin4,,,,
嫿,畫,huà,waak6,KAKU GYAKU,SHITOYAKA MIMEYOI,,
嬀,爲,guī,,KI GI,WARUGASHIKOI,규,
嬁,登,dēng,,TOU,UTSUKUSHII,,
嬂,戠,zhí,,SHOKU SHIKI,,,
嬃,須,xū,seoi1,SHU,ANE,,
嬄,壹,yī,,,,,
嬅,華,huà,,KUWA GE,,화,
嬆,翕,xī,,,,,
嬇,貴,kuì,,KUWAI E KE,,,
嬈,堯,ráo,jiu4,DEU NEU ZEU DAU EU KEU,WAZURUWASHII NAYAMU,요,
嬉,喜,xī,hei1,KI,TANOSHIMU URESHII,희,
嬊,,yàn,,,,,
嬋,單,chán,sim4,SEN ZEN,HIKITSUNAGA MIUCHI,선,
嬌,喬,jiāo,giu1,KYOU,NAMAMEKASHII,교,kiều
嬍,𢽠,měi,mei5,BI,,,
嬎,1,fàn,,HAN,,,
嬏,番,fān,,HAN,,,
嬐,僉,xiān,cim1,SEN GEN GIN GON,SUBAYAI TSUTSUSHIMUSAMA,,
嬑,意,yì,ji3,,,,
嬒,會,huì,,,,,
嬓,敫,jiào,giu3,KEU,,,
嬔,1,fù,,FU,,,
嬕,睪,shì,sik1,,,,
嬖,辟,bì,pei3,HEI,KINIIRI,폐,bế
嬗,亶,shàn,sin6,SEN ZEN TAN,YURUI,,
嬘,遂,suì,,,,,
嬙,嗇,qiáng,coeng4,SHOU ZOU SHOKU SHIKI,SOBAME,장,
嬚,廉,liǎn,,REN,,,
嬛,睘,huán,hyun1 king4,KEN KEI GYOU,KATAI,현,
嬜,歆,xīn,,,,,
嬝,裊,niǎo,niu5,JOU,TAOYAKA,,
嬞,董,dǒng,,TOU,,,
嬟,義,yì,ji6,,,,
嬠,喿,cān,,SAN,MUSABORU,,
嬡,愛,ài,oi3,AI,,,
嬢,襄,niáng,,JOU,MUSUME,,
嬣,寧,níng,,TAU NYAU DEI,KARADANOSAMA SHIZUKA,,
嬤,麼,mā,maa1 maa4,BA MA,,,
嬥,翟,tiǎo,tiu5,CHOU JOU TAKU DAKU TEKI CHAKU,YOI ADEYAKA TORIKAERU,조,
嬦,壽,chóu,,CHIU JIYU SHIU,,,
嬧,盡,jìn,,SHIN JIN,,,
嬨,慈,cí,,SHI JI,,자,
嬩,與,yú,,,,,
嬪,賓,pín,ban3 pan4,HIN,HIME,빈,
嬫,榮,róng,wing4,,,,
嬬,需,rú,jyu4,SHU JU DOU,YOWAI SOBAME TSUMA,,
嬭,爾,nǎi,naai5,DAI NE DEI NAI JI NI,HAHA HAGUKUMU ANE,내,
嬮,厭,yān,jim1 jim3,EN EHU,MIMEYOI,,
嬯,臺,tái,,TAI DAI,NIBUI,,
嬰,賏,yīng,jing1,EI,FURERU MIDORIGO,영,anh
嬱,漸,qiàn,,,,,
嬲,0,niǎo,nau1 niu5,JOU,NABURU,뇨,
嬳,蒦,yuè,,,,,
嬴,吂,yíng,jing4,EI,,영,
嬵,綿,mián,,,,,
嬶,鼻,bí,,,KAKA KAKAU,,
嬷,麽,mā,maa1,BA MA,,,
嬸,審,shěn,sam2,SHIN,,,thím
嬹,興,xìng,,,,,
嬺,慝,nì,,,,,
嬻,賣,dú,,,,,
嬼,劉,liǔ,,RIWA RU,YAMOME NAMAMEKASHII,,
嬽,𡚇,yuān,,EN ON WAN,MIMEYOI,,
嬾,頼,lǎn,laan5,RAN,OKOTARU MONOUI,란,
嬿,燕,yàn,jin3,EN,,연,
孀,霜,shuāng,soeng1 sung1,SOU,YAMOME,상,
孁,霝,líng,ling4,REI RYOU,ONNANOAZANA ME,,
孂,簋,jiǎo,,,,,
孃,襄,niáng,noeng4,JOU,MUSUME,양,
孄,闌,lǎn,laan5,,,,
孅,韱,qiān,cim1,SEN,KAYOWAI,섬,
孆,嬰,yīng,jing1,,,,
孇,雙,shuāng,,SAWA,,,
孈,巂,huì,,SUI I KUWAI E KI KEI,OROKADESHINAOTSUKURU,,
孉,雚,quán,,,,,
孊,靡,mǐ,mei5,,,,
孋,麗,lí,lei4,RI REI RAI,MATA AZANA,,
孌,䜌,luán,lyun5,REN RAN BAN MAN,SHITAU SUNAO MIMEYOI,련,
孍,嚴,yán,,GEN GON,,,
孎,屬,zhú,,SHOKU SOKU ZOKU TAKU CHOKU,TSUTSUSHIMU,,
孏,蘭,lǎn,laan5,,,,
子,0,zi,zi2,SHI SU,KO MI OTOKO,자,tí
孑,0,jié,kit3,GETSU KETSU,HITORI,혈,
孒,孒,jué,,KETSU KACHI KYOU KU KUTSU,HIDARINOUDEGANAI MIJIKAI,,
孓,孓,jué,kyut3,,,,
孔,0,kǒng,hung2,KOU,ANA HANAHADA,공,khổng
孕,0,yùn,jan6,YOU,HARAMU,잉,dựng
孖,,mā,maa1,SHI JI,HUTAGO,자,
字,子,zì,zi6,JI,AZA UMU MASU,자,tự
存,才,cún,cyun4,SON ZON,TAMOTSU ARU TOU,존,tồn
孙,,sūn,syun1,,,,
孚,0,fú,fu1,FU,TAMAGO HAGUKUMU,부,
孛,0,bèi,bui6 but6,BOTSU HAI,,패,bụt
孜,子,zī,zi1,SHI,TSUTOMERU,자,
孝,耂,xiào,haau3,KOU KYOU,,효,hiếu
孞,,xìn,,SHIN,,,
孟,皿,mèng,maang6,MOU MYOU MAN,KASHIRA HAJIME,맹,mạnh
孠,司,sì,,,,,
孡,,tāi,,,,태,
孢,,bāo,baau1,,,,
季,1,jì,gwai3,KI,SUE TOKI,계,quí
孤,瓜,gū,gu1,KO,MINASHIGO HITORI,고,cô
孥,奴,nú,nou4,DO NU,TSUMAKO,노,nua
学,1,xué,hok6,GAKU,MANABU,학,
孧,幼,yòu,,,,,
孨,0,zhuǎn,zyun2,SEN JUU NYUU,TSUTSUSHIMU YOWAI MINASHIGO,,
孩,亥,hái,haai4 hoi4,KAI GAI,CHINOMIGO,해,hài
孪,,luán,lyun4,,,,
孫,0,sūn,syun1,SON,MAGO,손,tôn
孬,好,nāo,bou2 naau1,,,,
孭,,miē,me1,,,,
孮,宗,cóng,,SOU ZU,,,
孯,臤,qiān,,KAN KEN,KATAI,,
孰,享,shú,suk6,JUKU,TARE IZURE,숙,
孱,孨,càn,caan3 saan4,SEN SAN,YOWAI,잔,
孲,亞,yā,,A,AKAGO,,
孳,兹,zī,zi1,SHI JI,UMU SHIGERU,,
孴,孨,nǐ,ji5,,,,
孵,孚,fū,fu1,FU,KAESU,부,
孶,茲,zī,zi1 zi3,SHI JI,UMU SHIGERU,자,
孷,,lí,,RI,HUTAGO,,
學,1,xué,hok6,GAKU,MANABU,학,học
孹,,bò,,,,,
孺,需,rú,jyu4 jyu6,JU,CHINOMIGO OSANAI,유,nhọ
孻,盡,nái,laai1,DAI NAI,,,
孼,辥,niè,jit6,GETSU GECHI,WAKIBARA HIKOBAE WAZAHAHI,얼,
孽,薛,niè,jip6 jit6,GETSU GECHI,WAKIBARA,,nghiệt
孾,嬰,yīng,,EI,MIDORIGO,,
孿,䜌,luán,lyun4,SAN SEN REN,HUTAGO,산,
宀,0,mián,min4,BEN MEN,YANE IE,,
宁,丁,níng,cyu5,CHO,TAKUWAERU,저,trữ
宂,0,rǒng,jung2,,,용,
它,0,tā,taa1 to1,TA SHA,HEBI,,
宄,,guǐ,gwai2,KI,MIDARE MIKOSHIMA,,
宅,乇,zhái,zaak6,TAKU,IE SUMAU YAKE,댁 택,
宆,,qióng,,KYOU,SORA,,
宇,于,yǔ,jyu5,U,NOKI IE,우,vũ
守,0,shǒu,sau2,SHU SU,MAMORU MORI MAMORI,수,thú
安,0,ān,ngon1 on1,AN,YASUI YASUNJIRU IZUKUNSO,안,an
宊,,tū,,TOTSU KA,TSUUKU,가,
宋,0,sòng,sung3,SOU,SUMAI ORU,송,tống
完,元,wán,jyun4,KAN,MATTAI MATTOUSURU,완,hoàn
宍,0,ròu,juk6,NIKU,SHISHI,,
宎,夭,yǎo,jiu2 miu5,EU YOU,,,
宏,厷,hóng,wang4,KOU,HIROI,굉,
宐,互,yí,ji4,GI,MIROSHII MUBE,,
宑,,jǐng,,SEI SHOU,UCHIIDO,,
宒,毛,zhūn,,CHUN,,,
宓,必,mì,fuk6 mat6,BITSU MICHI FUKU BUKU HITSU,YASURAKA,복,
宔,,zhǔ,,SHU,,,
宕,1,dàng,dong1 dong6,TOU,SUGIRU,탕,
宖,弘,hóng,wang4,KOU,YASURAKA,횡,
宗,0,zōng,zung1,SHUU SOU,MUNE TATTOBU,종,tông
官,0,guān,gun1,KAN,TSUKASA OOYAKE,관,quan
宙,由,zhòu,zau6,CHUU,SORA,주,trụ
定,0,dìng,deng6 ding6,TEI JOU,SADAMERU SADAMARU SADAME,정,định
宛,夗,wǎn,jyun1 jyun2,EN,ATAKAMO ATE ZUTSU,완,uyển
宜,0,yí,ji4,GI,YOROSHII MUBE,의,nghi
宝,1,bǎo,bou2,HOU,TAKARA,보,bảo
实,头,shí,sat6,,,,
実,0,shí,sat6,JITSU SHITSU,MI MINORU MICHIRU,실,
宠,龍,chǒng,cung2,,,,
审,,shěn,sam2,,,,
客,各,kè,haak3,KYAKU KAKU,MAROUDO,객,khách
宣,亘,xuān,syun1,SEN,NORU NOTAMAU,선,tuyên
室,至,shì,sat1,SHITSU,MURO HEYA,실,thất
宥,有,yòu,jau6,YUU,YURUSU NADAMERU,유,
宦,0,huàn,waan6,KAN GEN,TSUKAERU MANABU,환,
宧,,yí,ji4,,,,
宨,,tiǎo,,TEWA,HOSHIIMAMA,,
宩,,shǐ,,SHI,,,
宪,,xiàn,hin3,,,,
宫,,gōng,gung1,KYUU GUU,MIYA IE,,cung
宬,成,chéng,sing4,SEI JOU,KURA,성,
宭,君,qún,kwan4,KUN GUN,MUREIRU,,
宮,1,gōng,gung1,KYUU GUU,MIYA IE,궁,
宯,孝,xiāo,,KOU KYOU,KIGAAGARINUSU,,
宰,0,zǎi,zoi2,SAI,TSUKASADORU TSUKASA,재,tể
宱,作,zhà,,SA JA,HIROI,,
宲,呆,bǎo,,HOU,SHIMAIKOMU,,
害,丰,hài,hoi6 hot3,GAI KATSU,SOKONAU WAZAWAI NANZO,해,hại
宴,妟,yàn,jin3,EN,UTAGE TANOSHIMU,연,yến
宵,肖,xiāo,siu1,SHOU,YOI,소,
家,1,jiā,gaa1 gu1,KA KE KO,IE YA UCHI,가,gia
宷,釆,shěn,sam2,SHIN,TSUMABIRAKA TSUBUSANI,,
宸,辰,chén,san4,SHIN,NOKI,신,
容,1,róng,jung4,YOU,IRERU YURUSU KATACHI,용,dung
宺,,huǎng,,KOU,HIROI,,
宻,,mì,,MITSU,SHIGESHI HISOKA HISOKANI,,
宼,,kòu,,KOU,ADA,,
宽,苋,kuān,fun1,,,,
宾,兵,bīn,ban1,,,,
宿,佰,sù,sau3 suk1,SHUKU SHUU,YADORU YADO,수 숙,túc
寀,采,cǎi,coi2,SAI,CHIGYOUSHO TSUKASA,채,
寁,疌,zǎn,zaam2 zaan2,SAN SHOU,SUMIYAKA,,
寂,叔,jì,zik6,JAKU SEKI,SABISHII SABI,적,tịch
寃,0,yuān,jyun1,EN,KAGAMU NUREGINU,원,
寄,奇,jì,gei3,KI,YORU YOSERU YOSE,기,gửi
寅,0,yín,jan4,IN,TORA,인,dần
密,宓,mì,mat6,MITSU,SHIGESHI HISOKA HISOKANI,밀,mật
寇,0,kòu,kau3,KOU,ADASURU ADA,구,khấu
寈,,qīng,,,,,
寉,0,hè,,KAKU,TSURU,,
寊,貞,zhēn,,TEI CHAWA,,,
寋,,jiàn,gin2,KEN,,,
富,畐,fù,fu3,FU FUU,TOMU TOMI,부,phú
寍,0,níng,ning4,NEI,MUSHIRO,,
寎,爿丙,bìng,bing2 bing3,HEI KEI,OBIERU OSOWARERU NEIRU,,
寏,奐,huán,,KAN GAN,GURURITOMEGURASHITAKAKI,,
寐,未,mèi,mei6,BI,NERU,매,mị
寑,侵,qǐn,cam2,SHIN,HUSU NERU OKUZASHIKI,,
寒,0,hán,hon4,KAN,SAMUI SAMUSA,한,hàn
寓,禺,yù,jyu6,GUU GYO,YORU YOSERU KAKOTSUKERU,우,ngụ
寔,是,shí,sat6,SHOKU,MAKOTONI,식,thực
寕,,níng,ling4 ling6 ning4 ning6,NEI NYOU,YASUI MUSHIRO NANZO,,
寖,浸,jìn,zam3,SHIN,HITASU SOSOGU TSUMU TSUMORU,침,
寗,宓,níng,ning6,NEI NYUU,NEGAI,녕,
寘,真,zhì,zi3,SHI,OKU IRERU TOMERU SUKORU,치,
寙,㼌,yǔ,,YU,MONOUI UMU NAMAKERU OKOTARU,,
寚,,bǎo,,HOU,TAKARA,,
寛,莧,kuān,fun1,KAN,HIROI YURUYAKA KUTSUROGU,관,
寜,寍,níng,,NEI NYOU,YASUI MUSHIRO NANZO,,
寝,侵,qǐn,cam2,SHIN,NERU MITAMAYA YAMERU,,
寞,莫,mò,mok6,BAKU MAKU,SABISHII,막,mịch
察,祭,chá,caat3,SATSU SECHI,SHIRU MIRU AKIRAKA,찰,sát
寠,,jù,geoi6 lau4 leoi6,KU RU ROWA,MAZUSHII YATSURERU CHIHISAI,,lũ
寡,0,guǎ,gwaa2,KA,YAMOME SUKUNAI,과,quả
寢,爿𠬶,qǐn,cam2,SHIN,NERU,침,
寣,,hū,fat1,KOTSU KOCHI,OBIERU MEZAMERU,,
寤,1,wù,ng6,GO,SAMERU,오,
寥,翏,liáo,liu4,RYOU,SABISHII,요,
實,0,shí,sat6,JITSU SHITSU,MI MINORU,실,thực
寧,寍,níng,ning4,NEI NYOU,YASUI MUSHIRO NANZO,녕 령 영,
寨,𡨄,zhài,zaai6 zai6,SAI,TORIDE,채,trại
審,番,shěn,sam2,SHIN,TSUMABIRAKA,심,thẩm
寪,爲,wěi,wai2,I GI,,,
寫,舃,xiě,se2,SHA,UTSUSU,사,tả
寬,萈,kuān,fun1,KAN,HIROI YURUYAKA KUTSUROGU,관,khoan
寭,惠,huì,,,,혜,
寮,尞,liáo,liu4,RYOU,TSUKASA,료 요,
寯,雋,jùn,zeon3,SHUN,ATSUMERU ATSUMARU SUGURERU,준,
寰,睘,huán,waan4,KAN,,환,
寱,臬,yì,ngai6,GEI,NEGOTO ODOROKU,,
寲,疑,yí,,GI,AKIRAKANISURU,,
寳,缶,bǎo,bou2,HOU,TAKARA,,
寴,親,qīn,,SHIN,SHITASHII SHITASHIKU,,
寵,龍,chǒng,cung2,CHOU,MEGUMI MEGUMU,총,sủng
寶,缶,bǎo,bou2,HOU,TAKARA,보,bảo
寷,豐,fēng,,,,,
寸,0,cùn,cyun3,SUN SON,HAKARU TOKI KI,촌,thốn
对,,duì,deoi3,TAI TSUI,MUKAU NARABU AITE,,đối
寺,之,sì,zi6,JI SHI,TERA,사,
寻,寸,xún,cam4,,,,
导,,dǎo,dou6,,,,
寽,0,lǜ,,RIN RICHI,TORU TSUMAMU,,
対,0,duì,,TAI TSUI,MUKAU NARABU AITE,,
寿,0,shòu,sau6,JU JUU SU SHUU,KOTOBUKI HISASHII KOTOHOGU,수,thọ
尀,叵,pǒ,po2,HA,DEKINU,,
封,0,fēng,fung1,FUU HOU,SAKAI TOJIRU PONDO,봉,phong
専,叀,zhuān,,SEN,MOPPARA,,
