glyph,phonetic,pinyin,cantonese,on,kun,korean,vietnamese
㒶,,,gung1,,,,
㒷,,guǎ,hing2 hing3,,,,
㒸,豕,suì,seoi6,,,,
㒹,真,,din1,,,,
㒺,,,,,,,
㒻,冃,mào,mou6,,,,
㒼,0,mán,mang4 mun4,,,,
㒽,卷,quān,hyun1,,,,
㒾,施,shì,si6,,,,
㒿,離,lí,lei4,,,,
㓀,,,,,,,
㓁,,wǎng,mong5,,,,
㓂,,kòu,kaau3 taau3,,,,
㓃,託,dù,dou3,,,,
㓄,,zhèn,saam2 zaam3,,,,
㓅,,tīng,ding1 ting1,,,,
㓆,,,,,,,
㓇,,,,,,,
㓈,,bìng,bing1,,,,
㓉,,huò,gwaat3 gwat3 kut3 wun6 wut6,,,,
㓊,,dòng,dung6,,,,
㓋,,gòng,gung6,,,,
㓌,全,chēng,cang1 gwai3 ting4 tong3,,,,
㓍,,,,,,,
㓎,,qīn,caam1 saam6,,,,
㓏,冏,jiǒng,gwing2,,,,
㓐,坴,lù,luk6,,,,
㓑,幸,xìng,haang6,,,,
㓒,,,,,,,
㓓,南,nán,lam5 nam4,,,,
㓔,射,xiè,ze6,,,,
㓕,烕,,,,,,
㓖,畢,bì,bit1,,,,
㓗,絜,jié,git3,,,결,
㓘,夙,sù,suk1,,,,
㓙,,,hung1 kung4,,,,
㓚,,gōng,geoi6 gung1 kung4,,,,
㓛,,,gung1,,,,
㓜,,yòu,zaau3 ziu3,,,,
㓝,,xíng,zing4,,,,
㓞,丯,qià,kaai3,,,,
㓟,,pí,ngo4 pai1 pei1,,,,phay
㓠,,diàn,dim3,,,,chẻm
㓡,,fǔ,fu2,,,,
㓢,,luò,lok3,,,,
㓣,,qià,got3 zak6,,,,
㓤,,qià,gat1 hot3 kit3 kit6,,,,
㓥,當,tāng,tong1,,,,
㓦,百,bāi,bak3,,,,
㓧,含,gān,deoi1 haang1 zim1 zim2,,,,
㓨,,cí,ci3,,,,
㓩,,xuān,fan3 hin2 hyun1,,,,
㓪,,lǎng,long5,,,,
㓫,,,,,,,
㓬,券,,fu1,,,,
㓭,,shé,hot3,,,,
㓮,,,diu1,,,,
㓯,,lí,lei4,,,,
㓰,画,huà,waak6,,,,
㓱,,tóu,syu1,,,,
㓲,扁,piān,pin3,,,,
㓳,,dī,dai1,,,,
㓴,耎,ruǎn,zyun5,,,,
㓵,咢,è,ngok6,,,,
㓶,契,qiè,kit3,,,,khía
㓷,臬,yì,nau4 zi6,,,,
㓸,,zhuō,coek3 sau2 zoek3,,,,
㓹,,ruì,zeoi6,,,,
㓺,虔,jiān,gin1 gin6 kin4,,,,
㓻,罡,,gong1,,,,
㓼,桼,chì,,,,,
㓽,崇,chóng,sung4,,,,
㓾,犀,xī,sai1,,,,
㓿,,,,,,,
㔀,景,lüè,king4,,,,
㔁,登,dēng,daang1 taang1,,,,
㔂,,lín,leon4,,,,
㔃,絕,jué,zyut6,,,,
㔄,粟,sù,suk1,,,,
㔅,肅,xiào,siu3,,,,
㔆,朁,zàn,caam5,,,,
㔇,發,,put3,,,,
㔈,菲,,,,,,
㔉,属,zhǔ,cung2 zuk1,,,,
㔊,亶,zhǎn,tan2,,,,
㔋,監,jiān,ham3 ham5 lam6,,,,
㔌,聚,zòu,sei3 tam3 zap3 zau6 zek3 zik3,,,,
㔍,算,chuā,cap3 zaa3 zaai3,,,,
㔎,辥,xiè,sit3,,,,
㔏,磊,lì,gak3 lik6,,,,
㔐,,,cim1,,,,
㔑,薛,chì,,,,,
㔒,巂,xí,kwai4,,,,
㔓,,jiǎn,gin2 zin2,,,,
㔔,,,,,,,
㔕,,jí,gaat1 kaau1,,,글,
㔖,,,,,,,
㔗,,fèi,bei6 faai3 fan4 gaat1 ngaat6,,,,
㔘,,chù,zeot1,,,,
㔙,,bēng,ping1,,,,
㔚,1,jié,aau2 haau2,,,,
㔛,,,,,,,
㔜,孚,bá,but6,,,,
㔝,兩,liǎng,loeng5,,,,
㔞,乖,kuài,fai3,,,,
㔟,,,,,,,
㔠,,xiā,hat6,,,,
㔡,,biē,bit3,,,별,
㔢,絕,jué,waai4 zyut6,,,,
㔣,畾,léi,leoi4,,,,
㔤,審,xìn,saam2,,,,
㔥,罷,bài,baai6 pei4,,,,
㔦,養,yǎng,zoeng5 zoeng6,,,,
㔧,盧,lǜ,leoi6,,,,
㔨,背,bèi,bui3,,,,
㔩,盍,è,aap6,,,,
㔪,,lǔ,lou5,,,,
㔫,,,,,,,
㔬,,,coek3 zau3,,,,
㔭,,chè,ci4,,,,
㔮,能,nuó,,,,,
㔯,㕣,xuán,syun3,,,,
㔰,外,héng,hang4,,,,
㔱,臾,yǔ,zyu5,,,,
㔲,,,,,,,
㔳,飢,guǐ,gei2 gwaai2,,,,
㔴,異,yì,zik6,,,,
㔵,巽,xuǎn,syun2 wan4,,,,
㔶,贛,gòng,gaam2 gung3 zi1,,,,
㔷,丙,lòu,lau6,,,,
㔸,虒,tī,cam2 taai1 zyun1,,,,
㔹,,lè,lak6,,,,
㔺,,shì,saai3 si6,,,,
㔻,,,pei1,,,,
㔼,推,sǔn,seon2,,,,
㔽,,yào,zaau5,,,,
㔾,0,xiān,zit3,,,,
㔿,,zòu,zau3,,,,
㕀,,,,,,,
㕁,,què,koek3,,,,
㕂,,yín,zaam4 zaam6,,,,
㕃,,xī,him3 kaai1 lim4 zap3,,,,
㕄,,zhǐ,zi3,,,,
㕅,,jiá,gaap3,,,,
㕆,,hù,wu6,,,,
㕇,,lā,lap3,,,,
㕈,衣,yǐ,at3 zi2,,,,
㕉,,kè,,,,,
㕊,,fū,bou1 bou1,,,,
㕋,,qín,kam4,,,,
㕌,㝵,ài,ngoi6 zak6,,,,
㕍,,,deoi1,,,,
㕎,盍,kè,,,,,
㕏,㪷,chú,cyu4,,,,
㕐,舄,xiě,se2,,,,
㕑,尌,chú,ceoi4 cyu4,,,,
㕒,義,wēi,faai1 waai4 waai6,,,,
㕓,墨,,cin4,,,,
㕔,聽,,teng1 ting1,,,,
㕕,0,huàn,nap6 wan6,,,,
㕖,,sù,sou3,,,,
㕗,羑,yòu,zaau5,,,,
㕘,,,caam1 sam1,,,,
㕙,,jùn,zeon3,,,,
